ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_3A
ACTB-P-S323	ACTB	S323	P		-0.8701904429700895
NSD2-P-T544	NSD2	T544	P		0.6223857967272226
MDC1-P-S1820	MDC1	S1820	P		0.9202237545881776
SUMO1-G	SUMO1		G		0.14432879807132915
SUMO3-G	SUMO3		G		-0.7705972854891864
SUMO2-G	SUMO2		G		0.001176815212847755
RAD23B-P-S160	RAD23B	S160	P		0.6142952558267958
WRNIP1-P-T116	WRNIP1	T116	P		0.8092962874817223
MSH6-P-S274-S275	MSH6	S274|S275	P		0.8710364444630283
FEN1-P-Y152-S157-S162	FEN1	Y152|S157|S162	P		0.9900403001063334
RAD23A-G	RAD23A		G		0.034708549959259434
PARP4-P-S1722	PARP4	S1722	P		-0.6142952558267958
RAD23B-G	RAD23B		G		0.3848035943869817
MSH4-R	MSH4		R		0.9312818849878786
POLQ-R	POLQ		R		-0.9399332168339569
MBD4-P-S422	MBD4	S422	P		0.7440795520275432
POLH-R	POLH		R		0.8632274967245291
NSMCE4A-G	NSMCE4A		G		0.1570935111220714
CHAF1A-P-S206	CHAF1A	S206	P		0.525287664794334
RBBP8-P-S327	RBBP8	S327	P		0.8898028941032133
ATM-P-S1891	ATM	S1891	P		0.6110485876317541
ZBTB48-G	ZBTB48		G		0.985929140448768
CHEK2-R	CHEK2		R		0.7617760013200338
LRWD1-P-S212	LRWD1	S212	P		0.4014986239459038
POLE3-P-S122	POLE3	S122	P		-0.8984277272475666
WDHD1-P-S383	WDHD1	S383	P		0.5941040749503
TEX11-R	TEX11		R		-0.2272971512003966
H2AZ2-R	H2AZ2		R		0.3151142497409658
ZRANB3-R	ZRANB3		R		0.46128298072239576
PIAS1-R	PIAS1		R		0.25736321793223965
ACTB-P-Y294	ACTB	Y294	P		0.943789815097845
DUT-G	DUT		G		0.181216828857811
BLM-P-T171	BLM	T171	P		-0.8710364444630283
UNG-P-S23	UNG	S23	P		0.8984277272475666
TICRR-P-S599	TICRR	S599	P		0.6223857967272226
FAN1-R	FAN1		R		0.681122089931682
CHD1L-P-S636	CHD1L	S636	P		0.9601392282449152
NHEJ1-P-S287	NHEJ1	S287	P		0.9601392282449152
TRAIP-R	TRAIP		R		0.49643959058494974
TOP2A-P-S1213	TOP2A	S1213	P		0.8583534084307254
ATAD5-R	ATAD5		R		0.321163588133441
CCNH-G	CCNH		G		0.9498333990364186
TONSL-G	TONSL		G		-0.3810222996625542
UBE2L6-G	UBE2L6		G		-0.9498333990364186
CUL4B-P-S146	CUL4B	S146	P		0.6866493019060356
POLE3-R	POLE3		R		0.1563509231296052
BRCA2-P-S2095	BRCA2	S2095	P		0.8671015311977159
RUVBL1-R	RUVBL1		R		0.10870955004631769
SPATA22-G	SPATA22		G		0.384948736845825
RMI1-R	RMI1		R		0.22700217038854953
TRIP13-R	TRIP13		R		-0.9752610383361094
LIG1-P-S76	LIG1	S76	P		-0.863211820861577
UFD1-P-S299	UFD1	S299	P		-0.9668414678818076
H2AJ-R	H2AJ		R		0.5737562457258062
H2AB1-R	H2AB1		R		-0.7605354140048292
WRNIP1-P-S470	WRNIP1	S470	P		0.8614032797956047
XRCC6-P-S477	XRCC6	S477	P		-0.937840152365561
NSMCE3-G	NSMCE3		G		0.12182985870017814
NSMCE2-G	NSMCE2		G		0.2732581135328576
RNF8-R	RNF8		R		0.4970691151866606
NSMCE1-G	NSMCE1		G		0.5309717971106926
CDC25A-R	CDC25A		R		0.24126945131993477
POLG2-R	POLG2		R		0.28161479160867714
BOD1L1-P-S3029	BOD1L1	S3029	P		-0.9731517460742936
UFD1-P-S229	UFD1	S229	P		0.7857713263714547
YY1-P-S118	YY1	S118	P		-0.8105394917175884
PAXIP1-G	PAXIP1		G		0.1814033470160906
UIMC1-P-S171	UIMC1	S171	P		0.525287664794334
RTF2-G	RTF2		G		0.38442290026096315
BRCC3-G	BRCC3		G		0.019714701214560183
MPG-P-T67	MPG	T67	P		0.8701904429700895
POLR2J-R	POLR2J		R		0.22216160246219627
MUS81-R	MUS81		R		0.7140666890934303
SMC5-P-S35	SMC5	S35	P		0.8288693440879907
USP10-R	USP10		R		0.7300023730560649
EYA2-P-S257	EYA2	S257	P		0.5618335223787915
SHPRH-R	SHPRH		R		0.9654443531509105
LRWD1-P-S253	LRWD1	S253	P		0.4014986239459038
XRCC6-G	XRCC6		G		0.30001016649451356
XRCC4-G	XRCC4		G		-0.725979430999794
XRCC5-G	XRCC5		G		0.23167407570821147
PIAS1-P-S488	PIAS1	S488	P		0.8984277272475666
XRCC1-G	XRCC1		G		0.2315587357006186
TP53BP1-P-S1362	TP53BP1	S1362	P		0.6029394715203046
ATRX-P-S729	ATRX	S729	P		0.9788099709588199
HMGN1-P-S86-S89	HMGN1	S86|S89	P		-0.8105394917175884
CCNH-P-T315	CCNH	T315	P		-0.9436002843653453
MRE11-P-S649	MRE11	S649	P		-0.8622284028986348
ACTB-P-S60	ACTB	S60	P		0.9753365727335745
MRE11-P-S667	MRE11	S667	P		-0.9982353614735362
UFD1-P-S247	UFD1	S247	P		0.9029981092157063
CETN2-G	CETN2		G		0.08803176678832306
BRCA1-G	BRCA1		G		0.6820616518125613
BRCA2-G	BRCA2		G		0.8938916556712242
RPA1-P-T180	RPA1	T180	P		0.8254847042560923
BABAM1-G	BABAM1		G		0.2283876345472716
BABAM2-G	BABAM2		G		0.169669878514646
ERCC4-P-S693-S697	ERCC4	S693|S697	P		0.9881657854738162
TTK-P-S436	TTK	S436	P		0.8622284028986348
REV3L-G	REV3L		G		-0.9335071832370045
ORC4-R	ORC4		R		0.13707311516484846
TICRR-R	TICRR		R		-0.9312818849878786
TOP2B-P-S1476	TOP2B	S1476	P		-0.944623363209719
PARP1-P-S177	PARP1	S177	P		0.7190629591371797
GINS2-R	GINS2		R		0.2532914279190382
BOD1L1-P-S2954	BOD1L1	S2954	P		0.9433113607530146
YWHAE-P-S210	YWHAE	S210	P		0.8116880048687467
RBX1-R	RBX1		R		0.9654443531509105
DDB1-R	DDB1		R		0.1134008857238177
LIG1-P-S819	LIG1	S819	P		-0.9500245757133653
TIMELESS-P-S1087	TIMELESS	S1087	P		0.5618335223787915
CDA-R	CDA		R		-0.16962172068834977
MCMDC2-R	MCMDC2		R		0.6135148117929575
DNA2-R	DNA2		R		0.5293732603840253
NSD2-P-T110	NSD2	T110	P		-0.9601392282449152
MPLKIP-R	MPLKIP		R		0.1328105774974694
REV1-P-S1133	REV1	S1133	P		0.6110485876317541
NEIL1-R	NEIL1		R		0.7617760013200338
MSH2-R	MSH2		R		0.1735019680411283
WRN-R	WRN		R		0.2532914279190382
TP53BP1-P-S1701	TP53BP1	S1701	P		0.3714731886363623
RPA1-G	RPA1		G		0.37901386724035774
FANCE-R	FANCE		R		0.10870955004631769
RPA2-G	RPA2		G		0.8839959583589309
PARP4-P-S1504	PARP4	S1504	P		-0.9029981092157063
RNF212-R	RNF212		R		-0.7548506677086915
CDC5L-P-T385	CDC5L	T385	P		-0.9311419773284666
MAD2L2-G	MAD2L2		G		-0.18124680874494623
ATRX-R	ATRX		R		0.977121984453409
RPA3-G	RPA3		G		0.48449229189172766
TOP2B-P-S1441	TOP2B	S1441	P		0.6029394715203046
ERCC6L-P-S820	ERCC6L	S820	P		-0.8701904429700895
MNAT1-P-T51	MNAT1	T51	P		0.7343362615700626
ERCC6L-G	ERCC6L		G		0.44129538181557254
UBE2L6-R	UBE2L6		R		-0.9268803771075215
XRCC6-P-S2	XRCC6	S2	P		-0.7440795520275432
MPG-G	MPG		G		0.38442290026096315
ATRIP-R	ATRIP		R		0.10870955004631769
BAP1-P-S395	BAP1	S395	P		-0.9900403001063334
USP10-P-S576	USP10	S576	P		0.7465372588495736
SHLD3-R	SHLD3		R		0.6085343172561772
MCRS1-R	MCRS1		R		0.32625833538675963
ATM-R	ATM		R		0.999613673239675
MDC1-P-S108	MDC1	S108	P		-0.9370666972286348
ATRX-P-S1995-S1996	ATRX	S1995|S1996	P		0.9601392282449152
NFRKB-P-S240	NFRKB	S240	P		0.8622284028986348
SMC5-P-S12	SMC5	S12	P		0.5550613953878454
ELL-P-T180	ELL	T180	P		0.37328589507637994
PARG-P-S197	PARG	S197	P		0.7343362615700626
TOP2B-P-S1413	TOP2B	S1413	P		0.5269555084256523
RIF1-P-S1454	RIF1	S1454	P		0.937840152365561
RAD18-R	RAD18		R		0.2614221410129931
CDC25C-P-T48	CDC25C	T48	P		-0.8622284028986348
RPA1-P-S384	RPA1	S384	P		0.9945912145046535
UBE2V2-G	UBE2V2		G		0.725979430999794
BRCA2-R	BRCA2		R		-0.9155602714798231
USP10-P-S211	USP10	S211	P		-0.9982353614735362
RIF1-P-S2348	RIF1	S2348	P		0.9300585406031507
TOP1-P-S394	TOP1	S394	P		0.9982353614735362
VCP-G	VCP		G		-0.5592727260216293
SAMHD1-P-S278	SAMHD1	S278	P		0.8984277272475666
SLX4-R	SLX4		R		-0.4175266851171774
ERCC4-R	ERCC4		R		0.5128972731122272
TOP2A-P-S1374	TOP2A	S1374	P		-0.943789815097845
PARP4-P-S1186	PARP4	S1186	P		0.9774888945178857
MCM5-R	MCM5		R		0.5543840673251713
ORC2-P-T116	ORC2	T116	P		0.510292618605138
ISG15-G	ISG15		G		0.8686131336298266
CLK2-G	CLK2		G		0.4276756932717357
RAD18-P-S471	RAD18	S471	P		0.984972473041522
NBN-P-S432	NBN	S432	P		0.8888894600494808
MSH6-P-S14	MSH6	S14	P		0.6584784405253563
YWHAG-R	YWHAG		R		-0.4011715628012008
RIF1-P-S1236	RIF1	S1236	P		0.3714731886363623
YWHAE-G	YWHAE		G		0.7517121600648512
SETX-P-S1621	SETX	S1621	P		-0.9682850408833266
RAD23B-R	RAD23B		R		0.6995177071356123
YWHAB-G	YWHAB		G		-0.7756469654894659
COPS7B-R	COPS7B		R		0.8573568916066732
PARG-P-S137	PARG	S137	P		0.9774888945178857
RIF1-P-S1008	RIF1	S1008	P		-0.9961208745691177
NFRKB-R	NFRKB		R		-0.9977412508078342
DNPH1-G	DNPH1		G		0.05399547085071153
EYA2-P-T404	EYA2	T404	P		0.7165197394345857
TDP2-R	TDP2		R		0.1735019680411283
LIG3-R	LIG3		R		0.8612856280104546
SFR1-G	SFR1		G		0.7073191291473915
IDH1-P-S94	IDH1	S94	P		0.6029394715203046
MSH6-P-S65	MSH6	S65	P		0.5803171296563054
XPC-P-S61	XPC	S61	P		0.9601392282449152
YWHAG-G	YWHAG		G		-0.10239093510935397
SMC5-P-T1096	SMC5	T1096	P		0.9300585406031507
CCNA2-G	CCNA2		G		0.5846453558355102
PNKP-R	PNKP		R		-0.6250481104444852
TCEA1-P-S57	TCEA1	S57	P		0.7190629591371797
MDC1-P-T1589	MDC1	T1589	P		0.8183358145154316
TTK-P-S321	TTK	S321	P		0.6776209923906246
BAZ1B-P-S1342	BAZ1B	S1342	P		0.3714731886363623
SMARCA4-P-S1453	SMARCA4	S1453	P		-0.9601392282449152
HROB-R	HROB		R		-0.6085343172561772
PARG-G	PARG		G		0.6250492083045268
PNKP-G	PNKP		G		0.7208199821876419
ACTR8-R	ACTR8		R		0.10237155972064342
AUNIP-R	AUNIP		R		-0.8773358620881068
ALKBH2-R	ALKBH2		R		0.1563509231296052
MUTYH-R	MUTYH		R		0.1893642009689005
SAMHD1-G	SAMHD1		G		-0.9128609261723875
AURKB-G	AURKB		G		0.19252285499633148
AURKA-G	AURKA		G		0.9491398620067429
ACTB-P-S239	ACTB	S239	P		0.8984277272475666
REV1-R	REV1		R		0.7617760013200338
SAMHD1-P-T592	SAMHD1	T592	P		0.936861684008589
SUMO1-P-T76	SUMO1	T76	P		0.5618335223787915
BABAM2-R	BABAM2		R		-0.18819092925896228
UBE2I-R	UBE2I		R		-0.977121984453409
LRWD1-G	LRWD1		G		0.001176815212847755
POLR2A-P-S1920	POLR2A	S1920	P		-0.9285970154553715
SOD1-G	SOD1		G		0.001176815212847755
H2AC7-R	H2AC7		R		0.8290973520459985
UBE2B-R	UBE2B		R		0.24126945131993477
SHLD2-R	SHLD2		R		0.1735019680411283
TEN1-G	TEN1		G		-0.9530495500777649
CDC5L-R	CDC5L		R		0.32312760713810473
BAZ1B-P-S1468	BAZ1B	S1468	P		-0.7329424166488915
RIF1-P-S2205	RIF1	S2205	P		0.3714731886363623
BABAM1-P-S44	BABAM1	S44	P		0.9982353614735362
BOD1L1-P-S2203	BOD1L1	S2203	P		-0.7857713263714547
UBE2T-R	UBE2T		R		0.2967301460939772
TP53BP1-P-S1705	TP53BP1	S1705	P		-0.9982353614735362
H2AX-P-S122	H2AX	S122	P		0.5003028305728944
CHTF8-R	CHTF8		R		0.4093053941108342
GPS1-P-S240	GPS1	S240	P		-0.9029981092157063
MCM4-P-S120	MCM4	S120	P		-0.9957729835795736
ISG15-R	ISG15		R		-0.9181787779427792
GPS1-P-S474	GPS1	S474	P		0.5941040749503
CDC5L-P-T396	CDC5L	T396	P		0.7857713263714547
SETMAR-P-S508	SETMAR	S508	P		0.3714731886363623
HMGN1-P-S25	HMGN1	S25	P		0.9982353614735362
MAD2L2-R	MAD2L2		R		-0.7549531716079276
TRIM25-P-S97	TRIM25	S97	P		-0.7343362615700626
NFRKB-G	NFRKB		G		0.3229843163453794
FANCF-R	FANCF		R		0.4871956973316077
APEX2-R	APEX2		R		0.10237155972064342
CLK2-P-S50	CLK2	S50	P		0.8211395905598505
XRCC4-R	XRCC4		R		0.732207334872779
TP53BP1-P-S1678	TP53BP1	S1678	P		0.8708851775222101
PAXX-P-S152	PAXX	S152	P		0.9601392282449152
ELL-R	ELL		R		0.999613673239675
CHAF1A-P-S775	CHAF1A	S775	P		-0.8622284028986348
APBB1-P-S205	APBB1	S205	P		0.7440795520275432
TIMELESS-P-S1149	TIMELESS	S1149	P		0.6776209923906246
RECQL-P-S597	RECQL	S597	P		0.7440795520275432
TP53BP1-P-S640	TP53BP1	S640	P		0.7329424166488915
H2BC11-R	H2BC11		R		0.9155602714798231
NFRKB-P-S363	NFRKB	S363	P		-0.7343362615700626
H2BC3-R	H2BC3		R		0.717372269209547
UBA52-G	UBA52		G		0.7208199821876419
CUL5-R	CUL5		R		0.3327682444721231
TERF2-P-S365	TERF2	S365	P		0.9595951632229655
PER1-R	PER1		R		-0.999613673239675
PNKP-P-S114-T118	PNKP	S114|T118	P		-0.8622284028986348
CLSPN-R	CLSPN		R		0.6415498507446249
ATR-P-T1989	ATR	T1989	P		0.8622284028986348
MCMBP-P-S298	MCMBP	S298	P		0.9402623940673639
PARG-R	PARG		R		0.6415498507446249
SMARCAL1-R	SMARCAL1		R		-0.867962368071412
GPS1-P-S483	GPS1	S483	P		0.8701904429700895
PPP4C-G	PPP4C		G		0.5932994420742433
HMCES-P-S322	HMCES	S322	P		0.7343362615700626
HORMAD1-R	HORMAD1		R		-0.6816341191566911
UBXN1-R	UBXN1		R		0.1735019680411283
PAXX-R	PAXX		R		0.2068285154721251
NEIL2-R	NEIL2		R		0.8290973520459985
ABL1-P-T781	ABL1	T781	P		-0.7440795520275432
PTEN-P-S370	PTEN	S370	P		-0.7238425436337317
INO80-G	INO80		G		-0.5739718299966559
PPP5C-G	PPP5C		G		-0.6495757505374379
NPLOC4-G	NPLOC4		G		-0.33999678240238934
FTO-P-T4	FTO	T4	P		0.6029394715203046
RAD17-G	RAD17		G		0.031160082797964617
MAPK8-R	MAPK8		R		0.8290973520459985
RAD18-G	RAD18		G		0.36802527101506055
PMS2-P-S445	PMS2	S445	P		0.3714731886363623
MEIOB-R	MEIOB		R		-0.3908151610646157
ELL-G	ELL		G		-0.38442290026096315
HMGN1-P-S86	HMGN1	S86	P		0.7440795520275432
YY1-P-S247	YY1	S247	P		0.7343362615700626
UBE2A-R	UBE2A		R		-0.999613673239675
CUL4A-P-S10	CUL4A	S10	P		0.9601392282449152
PAXX-G	PAXX		G		0.001176815212847755
MDC1-P-T1157	MDC1	T1157	P		0.9601392282449152
TONSL-R	TONSL		R		0.977121984453409
RAD54B-R	RAD54B		R		0.5002352695488765
MCM4-P-T19	MCM4	T19	P		0.3714731886363623
TOP2B-P-S1449	TOP2B	S1449	P		-0.9029981092157063
COPS4-R	COPS4		R		0.9039451259135443
RNF168-G	RNF168		G		0.12182985870017814
RNF169-G	RNF169		G		0.2988698839116609
CDC25C-R	CDC25C		R		0.2879079157571439
BABAM1-P-S49	BABAM1	S49	P		0.7440795520275432
PCLAF-R	PCLAF		R		0.46264259009936004
SIRT6-P-S330	SIRT6	S330	P		0.6029394715203046
GTF2H3-R	GTF2H3		R		0.5128972731122272
MCM10-R	MCM10		R		-0.8778382639004355
TP53BP1-P-S1028	TP53BP1	S1028	P		0.7933674951221635
DDB2-R	DDB2		R		0.8575665238069549
GPS1-G	GPS1		G		0.3848035943869817
TP53BP1-P-S630	TP53BP1	S630	P		0.7440795520275432
POLR2A-P-T1919	POLR2A	T1919	P		0.9202237545881776
POLK-R	POLK		R		-0.8768641221659831
SMARCA4-P-S1659-S1663	SMARCA4	S1659|S1663	P		-0.9243632735945592
RIF1-P-S2176	RIF1	S2176	P		-0.8710364444630283
MCM6-R	MCM6		R		0.4596590227693265
WEE1-P-S150	WEE1	S150	P		0.8937054791515471
UBE2N-R	UBE2N		R		0.8631058731106225
ERCC3-R	ERCC3		R		0.5419792818795395
ALKBH5-P-S64	ALKBH5	S64	P		0.9245155971458215
TP53BP1-P-S552	TP53BP1	S552	P		-0.9202237545881776
PPP4R2-P-S226	PPP4R2	S226	P		0.6776209923906246
GTF2H1-G	GTF2H1		G		-0.3586935164556781
DDB2-P-S24-S26	DDB2	S24|S26	P		0.8710364444630283
GTF2H2-G	GTF2H2		G		0.9498333990364186
GTF2H3-G	GTF2H3		G		-0.6102999616070908
GTF2H4-G	GTF2H4		G		-0.725979430999794
GTF2H5-G	GTF2H5		G		-0.7962077264595171
RNF169-P-S531	RNF169	S531	P		-0.9829045200149196
XAB2-G	XAB2		G		0.3586935164556781
DMC1-R	DMC1		R		0.32694653618106245
RIF1-P-S2234	RIF1	S2234	P		0.8937054791515471
SMARCA4-P-S1484	SMARCA4	S1484	P		0.9601392282449152
ABL1-P-S569	ABL1	S569	P		0.7343362615700626
ACTB-R	ACTB		R		-0.006740737990816443
USP10-P-S370	USP10	S370	P		0.8622284028986348
WRNIP1-P-S151	WRNIP1	S151	P		-0.9202237545881776
POLG-R	POLG		R		0.9654443531509105
RIF1-P-S1579	RIF1	S1579	P		0.6531149476018578
MDC1-P-T1302	MDC1	T1302	P		0.8092962874817223
RPA2-P-S238	RPA2	S238	P		-0.9202237545881776
NBN-G	NBN		G		0.9240486924440573
MEN1-G	MEN1		G		0.6009093661072453
HERC2-R	HERC2		R		-0.9155602714798231
SLX4-P-S1044	SLX4	S1044	P		0.63762779858484
MDC1-P-S998	MDC1	S998	P		0.9436002843653453
BOD1L1-P-S2753	BOD1L1	S2753	P		0.9948843082085812
SLX4-P-S601	SLX4	S601	P		0.6029394715203046
POLR2B-R	POLR2B		R		0.7471284008907132
TFPT-R	TFPT		R		-0.6978573167061024
MCM3-P-S160	MCM3	S160	P		0.7343362615700626
PARP4-P-S1335	PARP4	S1335	P		-0.6110624167295191
ATRX-P-S889	ATRX	S889	P		-0.685775912505299
EXO1-R	EXO1		R		0.5419792818795395
DCTPP1-P-S85	DCTPP1	S85	P		0.6029394715203046
AURKA-R	AURKA		R		0.9362592164414325
ACTL6A-R	ACTL6A		R		0.43959040724079407
CUL5-G	CUL5		G		0.9414802079037353
SMARCA4-R	SMARCA4		R		0.8443696533825986
WEE1-P-S139	WEE1	S139	P		0.6142952558267958
INO80-P-S1490	INO80	S1490	P		-0.9900403001063334
RAD51AP1-G	RAD51AP1		G		0.13908072932277413
RBBP8-R	RBBP8		R		0.10237155972064342
RAD51AP2-G	RAD51AP2		G		0.32888033701123026
RECQL-P-T190	RECQL	T190	P		0.857661436368084
RPS27A-R	RPS27A		R		0.26527651647696904
ABL1-G	ABL1		G		-0.8686131336298266
WRNIP1-R	WRNIP1		R		0.46128298072239576
FANCB-R	FANCB		R		0.39747608712355903
RECQL4-P-S27	RECQL4	S27	P		0.63762779858484
ETAA1-R	ETAA1		R		0.2439987265552305
BABAM1-P-S62	BABAM1	S62	P		0.9601392282449152
ATR-R	ATR		R		0.5293732603840253
ATRX-P-S316	ATRX	S316	P		0.6866493019060356
MPG-R	MPG		R		0.7617760013200338
TINF2-R	TINF2		R		-0.9155602714798231
MDC1-P-S498	MDC1	S498	P		0.9987088047760833
PALB2-G	PALB2		G		0.7073191291473915
MDC1-P-S1775	MDC1	S1775	P		0.5269555084256523
CDK7-G	CDK7		G		0.9617495688361519
CDK6-G	CDK6		G		-0.016100727546855133
IDH1-R	IDH1		R		0.7184809924995058
TP53BP1-P-S525	TP53BP1	S525	P		0.6866493019060356
CDK4-G	CDK4		G		-0.72608629249254
USP43-R	USP43		R		0.10870955004631769
HMGN1-P-T83	HMGN1	T83	P		0.9753365727335745
CDK2-G	CDK2		G		0.2239475834204654
CDK1-G	CDK1		G		0.4154611851768391
PARP4-R	PARP4		R		-0.999613673239675
MCMBP-R	MCMBP		R		0.487323592605885
POLA1-P-S215	POLA1	S215	P		-0.9202237545881776
RAD9A-G	RAD9A		G		0.6201746317667606
PARP4-P-S1507	PARP4	S1507	P		-0.6866493019060356
MDC1-P-S299	MDC1	S299	P		0.7343362615700626
POLR2A-P-S1882	POLR2A	S1882	P		-0.9982353614735362
MCM2-P-T106	MCM2	T106	P		-0.6029394715203046
ATR-P-S464	ATR	S464	P		-0.5362171994442787
TP53BP1-P-S598	TP53BP1	S598	P		-0.6110485876317541
PPP4C-R	PPP4C		R		0.9475778409392167
ATRX-P-S677	ATRX	S677	P		0.7343362615700626
ACTB-P-S233	ACTB	S233	P		-0.6142952558267958
BOD1L1-P-S2780	BOD1L1	S2780	P		-0.669479583214671
SMARCAL1-P-S129	SMARCAL1	S129	P		-0.8092962874817223
PMS2-R	PMS2		R		0.1563509231296052
COPS8-R	COPS8		R		0.7877237259367798
FANCD2-P-S1412	FANCD2	S1412	P		0.6319946413887049
RUVBL2-R	RUVBL2		R		0.5954222924638123
MORF4L1-R	MORF4L1		R		-0.6541272692808777
MSH6-P-S252	MSH6	S252	P		0.6029394715203046
TOP3B-R	TOP3B		R		0.9312818849878786
KPNA2-R	KPNA2		R		0.9563996306458147
XRCC1-P-S241	XRCC1	S241	P		0.7883487295619603
NBN-P-T497	NBN	T497	P		-0.9948843082085812
ASCC2-P-S713	ASCC2	S713	P		0.7731649608805347
EID3-R	EID3		R		-0.24910562339528436
ZNF451-R	ZNF451		R		0.5442175445882852
COPS3-R	COPS3		R		0.6389591413700466
PIAS1-P-S503	PIAS1	S503	P		0.937840152365561
MCM4-P-S131	MCM4	S131	P		-0.9982353614735362
RBBP8-G	RBBP8		G		0.22788964607502193
RMI1-P-S292	RMI1	S292	P		0.4014986239459038
PRKDC-P-S893	PRKDC	S893	P		0.40129573942701074
TP53BP1-R	TP53BP1		R		-0.6668784972279772
RIF1-P-S2393	RIF1	S2393	P		0.8937054791515471
XRCC4-P-S320	XRCC4	S320	P		0.8701904429700895
TP53BP1-P-S999	TP53BP1	S999	P		0.7343362615700626
RNASEH2A-R	RNASEH2A		R		0.1563509231296052
RECQL4-R	RECQL4		R		0.6103212624655466
NBN-P-S347	NBN	S347	P		-0.6866493019060356
SOD1-R	SOD1		R		0.22700217038854953
CUL4A-G	CUL4A		G		0.8874070400173611
RAD50-G	RAD50		G		0.725979430999794
MDC1-P-S882	MDC1	S882	P		0.40259448875334175
POLR2I-R	POLR2I		R		-0.5741583870924275
H3-4-R	H3-4		R		0.867962368071412
WRNIP1-P-S65	WRNIP1	S65	P		0.5443587649388988
CUL4B-G	CUL4B		G		0.9835382993057149
POLN-R	POLN		R		-0.9312818849878786
BOD1L1-P-S3019	BOD1L1	S3019	P		-0.7343362615700626
NSMCE4A-R	NSMCE4A		R		0.6250481104444852
FAAP24-R	FAAP24		R		-0.8778382639004355
TP53BP1-P-S1656	TP53BP1	S1656	P		0.9601392282449152
ATRX-P-S598	ATRX	S598	P		-0.8622284028986348
SMARCC1-R	SMARCC1		R		0.5002352695488765
GTF2H4-R	GTF2H4		R		0.7850420514223985
DCLRE1B-R	DCLRE1B		R		0.33209305961620655
MNAT1-P-S279	MNAT1	S279	P		-0.999929705022011
ALKBH5-P-S361	ALKBH5	S361	P		0.525287664794334
MCM4-P-T110	MCM4	T110	P		-0.9015234150175006
CHEK2-G	CHEK2		G		0.9129423349670114
CHEK1-G	CHEK1		G		-0.9335071832370045
POLE4-R	POLE4		R		0.3186751398656701
PARPBP-R	PARPBP		R		0.732207334872779
SLX4-P-S467	SLX4	S467	P		0.6110485876317541
APTX-P-S132	APTX	S132	P		0.9881657854738162
AQR-G	AQR		G		0.1385201287632534
TIPIN-G	TIPIN		G		0.3048805357740476
MSH6-P-S227	MSH6	S227	P		0.3714731886363623
RECQL-G	RECQL		G		-0.014712466794721926
RECQL4-P-S89	RECQL4	S89	P		0.6142952558267958
JMJD6-G	JMJD6		G		0.9498333990364186
REV3L-R	REV3L		R		0.501401418007968
SMARCA5-P-S137	SMARCA5	S137	P		-0.7343362615700626
PLRG1-R	PLRG1		R		0.999613673239675
SMARCA5-P-S66	SMARCA5	S66	P		-0.6029394715203046
RMI2-R	RMI2		R		0.2272971512003966
H2BC1-R	H2BC1		R		0.24910562339528436
SMARCA4-P-S1382	SMARCA4	S1382	P		0.6110485876317541
RAD51-R	RAD51		R		0.5331433399990338
CHTF18-P-S871	CHTF18	S871	P		0.6029394715203046
DGUOK-G	DGUOK		G		0.13248420416341244
SLF2-R	SLF2		R		-0.999613673239675
RNF169-P-S427	RNF169	S427	P		-0.9202237545881776
TREX1-R	TREX1		R		0.1563509231296052
HMGN1-P-S7	HMGN1	S7	P		0.7465372588495736
MLH1-R	MLH1		R		0.45281899896572403
TREX1-G	TREX1		G		0.38442290026096315
SMARCA4-P-T1455	SMARCA4	T1455	P		0.8254847042560923
XRCC5-R	XRCC5		R		0.1735019680411283
XRCC3-R	XRCC3		R		0.18711783860349304
POLL-R	POLL		R		0.39747608712355903
ZNF830-R	ZNF830		R		0.732207334872779
ATM-G	ATM		G		0.7324563806296177
APEX1-P-T19	APEX1	T19	P		-0.931763059652598
TP53BP1-P-S484	TP53BP1	S484	P		0.9881657854738162
BAP1-G	BAP1		G		0.9012047487063496
ATR-G	ATR		G		0.1570935111220714
DCTPP1-P-S150	DCTPP1	S150	P		-0.4014986239459038
LIG3-P-S853	LIG3	S853	P		-0.5362171994442787
FEN1-G	FEN1		G		0.13908072932277413
CLK2-P-S75	CLK2	S75	P		-0.7343362615700626
TOP2A-P-S1354	TOP2A	S1354	P		0.7524163627307731
RAD23A-R	RAD23A		R		0.9215402764275241
PRPF19-G	PRPF19		G		0.0643153378403774
LIG1-P-S141	LIG1	S141	P		0.3714731886363623
ZNF451-P-S1027	ZNF451	S1027	P		0.5269555084256523
PMS1-R	PMS1		R		0.10870955004631769
PPP4R2-P-T173	PPP4R2	T173	P		0.9402623940673639
AURKB-R	AURKB		R		0.8768641221659831
EME2-R	EME2		R		-0.8290973520459985
MSH6-P-S830	MSH6	S830	P		-0.9881657854738162
MDC1-P-S1086	MDC1	S1086	P		0.7857713263714547
H2AZ1-R	H2AZ1		R		0.7918046490810263
CHAF1A-P-S141	CHAF1A	S141	P		0.6584784405253563
RNMT-P-T77	RNMT	T77	P		0.7440795520275432
GINS1-R	GINS1		R		0.2879079157571439
SMARCC1-P-S328-S330	SMARCC1	S328|S330	P		0.7343362615700626
SIRT6-P-S303	SIRT6	S303	P		0.8474748552744088
PKMYT1-R	PKMYT1		R		-0.999613673239675
RPA1-P-S38	RPA1	S38	P		0.6029394715203046
